STAFF_ID,STAFF_NAME,STAFF_NAME_ZH,STAFF_AVATAR,STAFF_URL
Carciofo.Richard,"CARCIOFO, Richard",理查德·卡奇欧佛,Carciofo.Richard.jpg,https://www.xjtlu.edu.cn/en/departments/academic-departments/health-and-environmental-sciences/staff/richard-carciofo
Chen.Zheng,"CHEN, Zheng",陈正,Chen.Zheng.jpg,https://www.xjtlu.edu.cn/en/departments/academic-departments/health-and-environmental-sciences/staff/zheng-chen
Chen.Ying,"CHEN, Ying",陈鹰,Chen.Ying.jpg,https://www.xjtlu.edu.cn/en/departments/academic-departments/health-and-environmental-sciences/staff/ying-chen01
Han.Lei,"HAN, Lei",韩蕾,Han.Lei.jpg,https://www.xjtlu.edu.cn/en/departments/academic-departments/health-and-environmental-sciences/staff/lei-han
Knops.Johannes,"KNOPS, Johannes",约翰尼斯·诺普斯,Knops.Johannes.jpg,https://www.xjtlu.edu.cn/en/departments/academic-departments/health-and-environmental-sciences/staff/johannes-knops
Li.Bailiang,"LI, Bailiang",李柏良,Li.Bailiang.jpg,https://www.xjtlu.edu.cn/en/departments/academic-departments/health-and-environmental-sciences/staff/bailiang-li
Li.Li,"LI, Li",李黎,Li.Li.jpg,https://www.xjtlu.edu.cn/en/departments/academic-departments/health-and-environmental-sciences/staff/li-li01
Ma.Feei.Zheng,"MA, Zheng Feei",马钲斐,Ma.Feei.Zheng.jpg,https://www.xjtlu.edu.cn/en/departments/academic-departments/health-and-environmental-sciences/staff/zhengfeei-ma
Nunez.Pagani.Emilio,"NUNEZ, Emilio Pagani",埃米利欧·努内茨,Nunez.Pagani.Emilio.jpg,https://www.xjtlu.edu.cn/en/departments/academic-departments/health-and-environmental-sciences/staff/emilio-pnunez
Pan.Stephen,"PAN, Stephen",潘长浩,Pan.Stephen.jpg,https://www.xjtlu.edu.cn/en/departments/academic-departments/health-and-environmental-sciences/staff/stephen-pan
Qin.Sujie,"QIN, Sujie",秦素洁,Qin.Sujie.jpg,https://www.xjtlu.edu.cn/en/departments/academic-departments/health-and-environmental-sciences/staff/sujie-qin
Wamsiedel.Marius,"WAMSIEDEL, Marius",马里乌斯·华姆西德尔,Wamsiedel.Marius.jpg,https://www.xjtlu.edu.cn/en/departments/academic-departments/health-and-environmental-sciences/staff/marius-wamsiedel
Xiao.Lingyun,"XIAO, Lingyun",肖凌云,Xiao.Lingyun.jpg,https://www.xjtlu.edu.cn/en/departments/academic-departments/health-and-environmental-sciences/staff/lingyun-xiao
Yuan.Linxi,"YUAN, Linxi",袁林喜,Yuan.Linxi.jpg,https://www.xjtlu.edu.cn/en/departments/academic-departments/health-and-environmental-sciences/staff/linxi-yuan
Zhao.Peng,"ZHAO, Peng",赵鹏,Zhao.Peng.jpg,https://www.xjtlu.edu.cn/en/departments/academic-departments/health-and-environmental-sciences/staff/peng-zhao
Zou.Yi,"ZOU, Yi",邹怡,Zou.Yi.jpg,https://www.xjtlu.edu.cn/en/departments/academic-departments/health-and-environmental-sciences/staff/yi-zou
